OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
119	119	84.45885445	119	36.90194975	115.9310521	1069.521921	541	2	119	772995.292	541	119	125	95.2676449	119	-1890	-5936162.5	1024300.375
120	120	51.64536106	120	16.43931804	51.64534872	212.2523779	311	2	120	772723.2771	311	120	126	36.91188325	120	-1928	-5935888	1024254.313
121	121	48.82879784	121	15.54276469	48.82883239	189.7329743	417	2	121	772859.8099	417	121	127	37.20140669	121	-1890	-5936052	1024192.938
122	122	30.58872302	122	9.736792699	30.58874519	74.45835881	411	2	122	772853.2677	411	122	128	32.46237174	122	-1890	-5936043.5	1024204.313
123	123	40.07471194	123	14.87438264	46.72930577	173.7675964	493	2	123	772953.026	493	123	129	15.56427127	123	-1890	-5936123.5	1024250.313
124	124	16.32709247	124	6.585426874	20.68864426	34.06074948	535	2	124	772981.3542	535	124	130	20.5629082	124	-1890	-5936102	1024389.375
125	125	57.82495261	125	24.83239488	78.01328541	484.3142772	599	2	125	773085.5383	599	125	131	14.10639571	125	-1890	-5936202	1024407.375
126	126	33.57109864	126	13.97	43.88804937	153.2790124	617	2	126	773124.5971	617	126	132	33.92796838	126	-1890	-5936246	1024406.688
127	127	27.35129141	127	11.51433389	36.17324029	104.1273852	576	2	127	773050.3519	576	127	133	14.74663439	127	-1890	-5936204	1024307.125
128	128	16.93367028	128	6.937908806	21.79636983	37.80580346	596	2	128	773084.2813	596	128	134	15.37294287	128	-1890	-5936220	1024355.75
129	129	20.94178447	129	6.671674538	20.9597637	34.95931387	592	2	129	773078.3882	592	129	135	15.67906647	129	-1890	-5936212.5	1024359.25
130	130	61.36615744	130	23.67917378	74.3900866	440.3725749	607	2	130	773093.9221	607	130	136	29.65896205	130	-1890	-5936222	1024383.313
131	131	37.71855347	131	14.55257776	45.71802709	166.3278973	594	2	131	773083.918	594	131	137	6.464042578	131	-1890	-5936204.5	1024392.125
132	132	45.03508033	132	18.04385722	56.68626952	255.7089275	600	2	132	773085.6678	600	132	138	10.97072931	132	-1890	-5936209.5	1024387.188
133	133	93.89644963	133	41.81744149	131.3735508	1373.428365	562	2	133	773033.3921	562	133	139	397.4365116	133	-1927	-5936135	1024547.938
134	134	19.04186814	134	6.061314972	19.04188004	28.85424969	429	2	134	772867.2663	429	134	140	12.01089762	134	-1928	-5936009	1024318.625
135	135	44.60756142	135	14.19910593	44.60753835	158.3458374	455	2	135	772913.9123	455	135	141	32.61220353	135	-1890	-5936041.5	1024368.813
136	136	27.41735554	136	8.727298898	27.4174324	59.81962672	402	2	136	772841.0913	402	136	142	28.34981461	136	-1928	-5935973	1024351.188
137	137	69.1571797	137	22.0134815	69.15713572	380.5959229	537	2	137	772984.9284	537	137	143	15.82949863	137	-1890	-5936119.5	1024352.313
138	138	30.90602603	138	11.99133309	37.67209415	112.9352874	472	2	138	772929.6021	472	138	144	37.5064303	138	-1890	-5936065.5	1024354.063
139	139	92.6767402	139	29.50000245	92.67674741	683.4892726	464	2	139	772924.045	464	139	145	18.31113418	139	-1890	-5936043	1024386.75
140	140	46.69825093	140	14.86460731	46.69885477	173.5412001	481	2	140	772936.0988	481	140	146	12.77372707	140	-1890	-5936053.5	1024389.625
141	141	50.6033904	141	16.10765487	50.60344413	203.7747124	469	2	141	772928.2242	469	141	147	7.804689761	141	-1890	-5936041.5	1024397.563
142	142	103.5341566	142	47.93927467	150.6057527	1804.98359	514	2	142	772969.188	514	142	148	8.621562571	142	-1890	-5936084.5	1024395.5
143	144	72.13524951	143	22.96145891	72.13580882	414.0873346	501	2	143	772959.1199	501	143	149	12.15313085	143	-1890	-5936080	1024382.313
144	145	26.80584485	144	8.53261669	26.80595348	57.18111966	500	2	144	772957.9422	500	144	150	10.97600737	144	-1890	-5936073.5	1024395.5
145	146	45.00826088	145	14.32665299	45.00833535	161.2040829	458	2	145	772920.7366	458	145	151	11.94810182	145	-1890	-5936062.5	1024323.75
146	147	24.94198734	146	10.62578149	33.38162106	88.67577272	489	2	146	772946.4255	489	146	152	24.94123008	146	-1890	-5936041.5	1024451.188
147	148	27.90765951	147	11.22230231	35.25620939	98.91482107	516	2	147	772969.6113	516	147	153	79.20220196	147	-1890	-5936075	1024454.563
148	150	77.90760093	148	34.95200729	109.8049464	959.4756219	503	2	148	772960.0349	503	148	154	17.12100914	148	-1890	-5936045.5	1024475.188
149	151	35.26526724	149	11.22537366	35.26536662	98.96621076	519	2	149	772970.4265	519	149	155	20.26186241	149	-1890	-5936051.5	1024490.438
150	152	27.33235063	150	8.70025934	27.33244977	59.44936954	543	2	150	772997.517	543	150	156	13.76889257	150	-1890	-5936075.5	1024500.875
151	153	57.77542969	151	18.3906066	57.77597992	265.6346815	534	2	151	772981.2834	534	151	157	21.00274833	151	-1890	-5936060.5	1024499.125
152	154	50.04550828	152	15.93005447	50.04605621	199.3103514	532	2	152	772980.3041	532	152	158	12.73035492	152	-1890	-5936061.5	1024489.125
153	155	51.04831382	153	18.87219361	59.28876488	279.7273571	507	2	153	772961.8403	507	153	159	18.33805251	153	-1890	-5936057	1024452.813
154	156	25.87022429	154	11.97184499	37.61083309	112.5682832	278	2	154	772641.3821	278	154	160	53.16522938	154	-1938	-5936069	1023566.5
155	157	9.404211313	155	2.993551082	9.404825449	7.038686383	248	2	155	772586.5093	248	155	161	46.04405304	155	-1938	-5936026.5	1023519.938
156	158	26.73156619	156	8.509006499	26.73159385	56.8643192	214	2	156	772538.0928	214	156	162	54.52262339	156	-1946	-5935992	1023486.875
157	159	21.27884243	157	6.77334866	21.27879665	36.03165948	282	2	157	772646.1799	282	157	163	48.51253237	157	-1931	-5935993.5	1023770.563
158	160	23.44299153	158	9.026386794	28.35727193	63.99101983	302	2	158	772702.7875	302	158	164	14.49139627	158	-1908	-5936048	1023766.938
159	161	33.66789161	159	13.41967695	42.15891678	141.4389499	306	2	159	772712.5897	306	159	165	17.15019624	159	-1908	-5936058.5	1023766.938
